timestamp,run_type,broker,action,symbol,quantity,price,order_id,reason,pnl,capital_remaining,notes
2026-03-24T12:05:39.333882+05:30,midday,kite,INFO,,,,,,,,=== Midday session started ===
2026-03-24T12:05:52.889646+05:30,midday,kite,INFO,,,,,,,,[MIDDAY ROTATION] RELIANCE | action=hold | Holding RELIANCE (score=0.784). TECHM (score=0.800) does not clear the 1.3x rotation threshold.
2026-03-24T12:05:52.889851+05:30,midday,kite,INFO,,,,,,,,Midday: holding RELIANCE.
2026-03-24T15:00:48.438780+05:30,eod,kite,INFO,,,,,,,,=== EOD session started ===
2026-03-24T15:00:48.664088+05:30,eod,kite,INFO,,,,,,,,EOD: holding RELIANCE overnight. P&L: -0.21% — within acceptable range.
2026-03-25T09:36:09.561784+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-25T09:36:22.681189+05:30,morning,kite,INFO,,,,,,,,[MORNING ROTATION] RELIANCE | action=hold | No better Nifty 50 alternative today. Holding RELIANCE (score=0.801).
2026-03-25T09:36:22.681413+05:30,morning,kite,INFO,,,,,,,,Holding RELIANCE after morning analysis.
2026-03-25T09:39:31.442466+05:30,morning,kite,INFO,,,,,,,,=== Morning session started ===
2026-03-25T09:39:43.544441+05:30,morning,kite,INFO,,,,,,,,[MORNING ROTATION] RELIANCE | action=hold | No better Nifty 50 alternative today. Holding RELIANCE (score=0.802).
2026-03-25T09:39:43.544653+05:30,morning,kite,INFO,,,,,,,,Holding RELIANCE after morning analysis.
2026-03-25T10:17:48.512462+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=False) ---
2026-03-25T10:18:00.654087+05:30,run,kite,BUY,RELIANCE,2,1420.1,260325150544728,,0.0,2159.8,pool=nifty50 RSI=52.8 MACD_cross=False
2026-03-25T10:18:00.654317+05:30,run,kite,INFO,,,,,,,,--- Processing pool: SMALLCAP50 (sell_only=False) ---
2026-03-25T10:18:16.377636+05:30,run,kite,BUY,HSCL,8,460.45,260325150546023,,0.0,1316.4,pool=smallcap50 RSI=52.5 MACD_cross=True
2026-03-25T11:21:10.297238+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=False) ---
2026-03-25T11:21:21.839668+05:30,run,kite,INFO,,,,,,,,[NIFTY50 ROTATION] RELIANCE | action=hold | Holding RELIANCE (score=0.844). HCLTECH (score=0.768) does not clear the 1.3x rotation threshold.
2026-03-25T11:21:21.839899+05:30,run,kite,INFO,,,,,,,,[NIFTY50] Holding RELIANCE.
2026-03-25T11:21:21.840065+05:30,run,kite,INFO,,,,,,,,--- Processing pool: SMALLCAP50 (sell_only=False) ---
2026-03-25T11:21:36.167423+05:30,run,kite,INFO,,,,,,,,[SMALLCAP50 ROTATION] HSCL | action=hold | Holding HSCL (score=1.631). KALYANKJIL (score=1.533) does not clear the 1.3x rotation threshold.
2026-03-25T11:21:36.167632+05:30,run,kite,INFO,,,,,,,,[SMALLCAP50] Holding HSCL.
2026-03-25T13:21:13.269730+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=False) ---
2026-03-25T13:21:23.717283+05:30,run,kite,INFO,,,,,,,,[NIFTY50 ROTATION] RELIANCE | action=hold | Holding RELIANCE (score=0.822). HCLTECH (score=0.773) does not clear the 1.3x rotation threshold.
2026-03-25T13:21:23.717496+05:30,run,kite,INFO,,,,,,,,[NIFTY50] Holding RELIANCE.
2026-03-25T13:21:23.717668+05:30,run,kite,INFO,,,,,,,,--- Processing pool: SMALLCAP50 (sell_only=False) ---
2026-03-25T13:21:37.023965+05:30,run,kite,INFO,,,,,,,,[SMALLCAP50 ROTATION] HSCL | action=hold | Holding HSCL (score=1.698). SPARC (score=1.619) does not clear the 1.3x rotation threshold.
2026-03-25T13:21:37.024177+05:30,run,kite,INFO,,,,,,,,[SMALLCAP50] Holding HSCL.
2026-03-25T15:21:14.010509+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=True) ---
2026-03-25T15:21:14.269819+05:30,run,kite,INFO,,,,,,,,[NIFTY50] EOD loss threshold for RELIANCE (-0.66%). Selling before close.
2026-03-25T15:21:14.532053+05:30,run,kite,SELL,RELIANCE,2,1410.7,260325151790127,EOD_EXIT,-18.8,4981.2,pool=nifty50
2026-03-25T15:21:19.061211+05:30,run,kite,INFO,,,,,,,,--- Processing pool: SMALLCAP50 (sell_only=True) ---
2026-03-25T15:21:19.306889+05:30,run,kite,INFO,,,,,,,,[SMALLCAP50] Holding HSCL overnight. P&L: +0.15%.
2026-03-26T09:21:15.946444+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=False) ---
2026-03-26T11:21:18.224895+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=False) ---
2026-03-26T13:21:16.195752+05:30,run,kite,INFO,,,,,,,,--- Processing pool: NIFTY50 (sell_only=False) ---
